product_category,mean_compound,most_common_sentiment,number_of_products,total_reviews,total_ratings
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",0.9941333333333334,positive,3,24,126
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",0.9981,positive,1,8,46
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",0.72488,positive,5,55,215
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",0.914,positive,1,6,35
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",0.9876666666666667,positive,3,28,124
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",0.9965,positive,1,13,36
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,0.9955499999999999,positive,4,32,153
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,0.9997,positive,1,8,44
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,0.71204,positive,5,45,237
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,0.85401,positive,10,77,361
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,0.9957499999999999,positive,2,14,71
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,0.9884454545454545,positive,11,90,474
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,0.8579315789473684,positive,19,148,701
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,0.9951666666666666,positive,3,24,112
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,0.80557,positive,10,67,366
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,0.9028499999999999,positive,12,98,368
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,0.99905,positive,2,21,67
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,0.9998,positive,1,5,36
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,0.8971631578947368,positive,19,154,806
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,0.9557307692307693,positive,13,104,555
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,0.8114,positive,2,17,77
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,0.533325,positive,8,69,300
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,0.9612111111111111,positive,27,243,1051
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,0.99865,positive,2,16,62
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,0.9944666666666667,positive,3,24,121
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,0.9815400000000001,positive,5,40,214
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,0.9964,positive,1,8,41
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,0.9797454545454546,positive,11,88,439
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,0.9945,positive,1,8,45
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,0.9904,positive,1,13,52
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,0.9678,positive,1,8,37
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,0.5169428571428571,positive,7,61,257
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,0.9925,positive,3,24,78
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,0.9862,positive,1,8,37
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",0.9086416666666667,positive,24,195,1154
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",0.9911666666666666,positive,12,103,509
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",0.6326227272727273,positive,22,175,778
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",0.9977333333333332,positive,3,24,97
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",0.9524,positive,1,8,44
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",0.997225,positive,4,25,140
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",0.7564625,positive,8,62,310
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",0.9973,positive,2,14,91
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",0.9987833333333334,positive,6,50,220
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,0.7913333333333333,positive,3,24,129
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,0.6194583333333333,positive,12,84,468
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,0.6475545454545455,positive,11,80,380
HomeImprovement|Electrical|Adapters&Multi-Outlets,0.0,neutral,1,0,0
HomeImprovement|Electrical|CordManagement,0.9984,positive,1,8,34
MusicalInstruments|Microphones|Condenser,0.9746999999999999,positive,2,15,82
OfficeProducts|OfficeElectronics|Calculators|Basic,0.9982,positive,1,8,32
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,0.9722,positive,1,13,43
OfficeProducts|OfficeElectronics|Calculators|Scientific,0.9942,positive,2,26,81
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,0.9818,positive,1,8,38
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",0.9976,positive,1,8,32
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",0.9644285714285715,positive,7,58,269
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",0.99865,positive,2,16,73
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",0.984925,positive,4,32,163
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",0.99585,positive,2,21,85
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",0.9998,positive,1,12,42
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",0.99455,positive,2,18,80
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",0.98805,positive,2,17,67
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",0.99535,positive,2,21,74
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",0.9475666666666666,positive,3,29,111
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,0.9959,positive,1,13,37
